"area","grad","dc"
20043,4.5,200
20040,4,200
1180,18,10
2180,18,20
1173,17.5,10
3180,18,30
4180,18,40
2173,17.5,20
3173,17.5,30
5180,18,50
6180,18,60
20063,6.5,200
20060,6,200
1170,17,10
20190,19,200
4173,17.5,40
20183,18.5,200
20180,18,200
8183,18.5,80
7180,18,70
20173,17.5,200
2170,17,20
20170,17,200
20163,16.5,200
20160,16,200
9183,18.5,90
20153,15.5,200
5173,17.5,50
20150,15,200
20143,14.5,200
3170,17,30
20140,14,200
10183,18.5,100
20133,13.5,200
11183,18.5,110
20130,13,200
11190,19,110
20123,12.5,200
8180,18,80
20120,12,200
6173,17.5,60
20113,11.5,200
20110,11,200
20103,10.5,200
20100,10,200
20093,9.5,200
12190,19,120
20090,9,200
13190,19,130
20083,8.5,200
20080,8,200
20073,7.5,200
9180,18,90
20070,7,200
18050,5,180
18043,4.5,180
19040,4,190
19033,3.5,190
19043,4.5,190
20053,5.5,200
20033,3.5,200
20030,3,200
20050,5,200
19050,5,190
19060,6,190
19053,5.5,190
18040,4,180
15190,19,150
19030,3,190
12183,18.5,120
19063,6.5,190
18033,3.5,180
18053,5.5,180
7173,17.5,70
18060,6,180
17043,4.5,170
17040,4,170
19070,7,190
14190,19,140
18030,3,180
17050,5,170
18063,6.5,180
17030,3,170
17033,3.5,170
17053,5.5,170
10180,18,100
17060,6,170
16043,4.5,160
16040,4,160
17193,19.5,170
16050,5,160
17063,6.5,170
18070,7,180
16053,5.5,160
2163,16.5,20
16033,3.5,160
19073,7.5,190
13183,18.5,130
16060,6,160
15043,4.5,150
15040,4,150
15050,5,150
17070,7,170
4170,17,40
16030,3,160
16063,6.5,160
15053,5.5,150
5170,17,50
15033,3.5,150
18073,7.5,180
17073,7.5,170
15063,6.5,150
15060,6,150
18193,19.5,180
14043,4.5,140
14040,4,140
14050,5,140
15030,3,150
16070,7,160
19080,8,190
14053,5.5,140
16190,19,160
14033,3.5,140
16073,7.5,160
8173,17.5,80
14060,6,140
13043,4.5,130
13040,4,130
13050,5,130
14030,3,140
15070,7,150
11180,18,110
14063,6.5,140
13053,5.5,130
12033,3.5,120
12030,3,120
14183,18.5,140
13033,3.5,130
3163,16.5,30
18080,8,180
15073,7.5,150
13060,6,130
17190,19,170
12043,4.5,120
12040,4,120
12050,5,120
13030,3,130
14070,7,140
13063,6.5,130
12060,6,120
12053,5.5,120
1160,16,10
6170,17,60
19083,8.5,190
10053,5.5,100
10050,5,100
17080,8,170
11033,3.5,110
11030,3,110
9173,17.5,90
11043,4.5,110
11040,4,110
11050,5,110
12063,6.5,120
16080,8,160
19193,19.5,190
13070,7,130
11053,5.5,110
11060,6,110
18083,8.5,180
17083,8.5,170
12180,18,120
15080,8,150
10043,4.5,100
10040,4,100
4163,16.5,40
14073,7.5,140
8033,3.5,80
7033,3.5,70
15183,18.5,150
11063,6.5,110
10033,3.5,100
12070,7,120
7170,17,70
11070,7,110
18190,19,180
10060,6,100
9043,4.5,90
9040,4,90
2160,16,20
9050,5,90
5163,16.5,50
9033,3.5,90
14080,8,140
6050,5,60
6043,4.5,60
10173,17.5,100
13073,7.5,130
10063,6.5,100
9053,5.5,90
13180,18,130
10070,7,100
9030,3,90
10030,3,100
19090,9,190
7063,6.5,70
7060,6,70
8170,17,80
9060,6,90
3160,16,30
8043,4.5,80
8040,4,80
8050,5,80
16183,18.5,160
11173,17.5,110
9063,6.5,90
8053,5.5,80
7043,4.5,70
7040,4,70
13080,8,130
19190,19,190
16083,8.5,160
4050,5,40
4043,4.5,40
6163,16.5,60
12073,7.5,120
11073,7.5,110
8060,6,80
7050,5,70
14180,18,140
9170,17,90
10073,7.5,100
9073,7.5,90
18090,9,180
17090,9,170
4160,16,40
8063,6.5,80
17183,18.5,170
7053,5.5,70
12173,17.5,120
6040,4,60
12080,8,120
15083,8.5,150
7163,16.5,70
6053,5.5,60
15180,18,150
9070,7,90
2153,15.5,20
8030,3,80
6033,3.5,60
5050,5,50
5043,4.5,50
10170,17,100
2050,5,20
14083,8.5,140
18183,18.5,180
7030,3,70
6060,6,60
8070,7,80
5040,4,50
3040,4,30
3033,3.5,30
16090,9,160
1150,15,10
5033,3.5,50
12100,10,120
11100,10,110
5160,16,50
1043,4.5,10
1040,4,10
13173,17.5,130
4033,3.5,40
18093,9.5,180
5060,6,50
5053,5.5,50
6063,6.5,60
3043,4.5,30
3153,15.5,30
8163,16.5,80
4040,4,40
16180,18,160
8080,8,80
7080,8,70
2150,15,20
2043,4.5,20
3050,5,30
11170,17,110
4153,15.5,40
17133,13.5,170
16133,13.5,160
8073,7.5,80
6160,16,60
6030,3,60
19183,18.5,190
5030,3,50
5063,6.5,50
4060,6,40
4053,5.5,40
7070,7,70
13083,8.5,130
14173,17.5,140
19100,10,190
9163,16.5,90
17180,18,170
1070,7,10
17103,10.5,170
16103,10.5,160
1143,14.5,10
11080,8,110
10080,8,100
15090,9,150
7160,16,70
17093,9.5,170
19103,10.5,190
3150,15,30
3060,6,30
3053,5.5,30
12170,17,120
2060,6,20
1060,6,10
5153,15.5,50
4063,6.5,40
6070,7,60
1050,5,10
6153,15.5,60
18110,11,180
17110,11,170
8160,16,80
16093,9.5,160
2040,4,20
15173,17.5,150
8110,11,80
7110,11,70
10163,16.5,100
18130,13,180
17130,13,170
11083,8.5,110
10083,8.5,100
2143,14.5,20
4150,15,40
1140,14,10
18100,10,180
12083,8.5,120
18180,18,180
10110,11,100
9110,11,90
13170,17,130
19130,13,190
11163,16.5,110
4030,3,40
3030,3,30
14090,9,140
7153,15.5,70
17100,10,170
2033,3.5,20
1133,13.5,10
1130,13,10
11120,12,110
10120,12,100
5070,7,50
15100,10,150
14100,10,140
3063,6.5,30
18103,10.5,180
5150,15,50
16173,17.5,160
13120,12,130
12120,12,120
2140,14,20
14103,10.5,140
13103,10.5,130
7073,7.5,70
6073,7.5,60
14170,17,140
